Label,NodeID,network_behaviour,data_collection_behaviour,Reward_punishment,periode
1,s3_h5,1,0.995,1,7
1,s4_f4,1,1,1,7
1,s4_h5,1,0.985,1,7
1,s1_f5,1,0.99,1,7
1,s2_f5,1,0.99,1,7
1,s3_f5,1,0.99,1,7
1,s4_f5,1,0.99,1,7
1,s1_f1,1,1,1,8
0.6,s1_f2,0.6,0.995556,0.654985,8
1,s1_h1,1,0.993333,1,8
1,s1_h2,1,0.993333,1,8
1,s2_f1,1,1,1,8
1,s2_f2,1,0.997778,1,8
1,s2_h1,1,0.946667,1,8
1,s2_h2,1,0.986667,1,8
1,s3_f1,1,0.98,1,8
1,s3_f2,1,0.997778,1,8
1,s3_h1,1,0.986667,1,8
1,s3_h2,1,0.953333,1,8
1,s4_f1,1,1,1,8
1,s4_f2,1,0.982222,1,8
1,s4_h1,1,0.993333,1,8
1,s4_h2,1,0.993333,1,8
1,s1_f3,1,1,1,8
1,s1_h3,1,0.995,1,8
1,s1_h4,1,0.993333,1,8
1,s2_f3,1,1,1,8
1,s2_h3,1,0.975,1,8
1,s2_h4,1,0.993333,1,8
1,s3_f3,1,1,1,8
1,s3_h3,1,0.985,1,8
1,s3_h4,1,0.986667,1,8
1,s4_f3,1,1,1,8
1,s4_h3,1,0.985,1,8
1,s4_h4,1,0.953333,1,8
1,s1_f4,1,1,1,8
1,s1_h5,1,0.975,1,8
1,s2_f4,1,1,1,8
1,s2_h5,1,0.985,1,8
1,s3_f4,1,0.96,1,8
1,s3_h5,1,0.995,1,8
1,s4_f4,1,1,1,8
1,s4_h5,1,0.985,1,8
0.6,s1_f5,0.6,0.956,0.654985,8
1,s2_f5,1,0.993333,1,8
1,s3_f5,1,0.993333,1,8
1,s4_f5,1,0.986667,1,8
1,s1_f1,1,1,1,9
1,s1_f2,1,1,1,9
0.6,s1_h1,0.6,0.999556,0.654985,9
1,s1_h2,1,0.993333,1,9
1,s2_f1,1,1,1,9
1,s2_f2,1,1,1,9
1,s2_h1,1,0.949778,1,9
1,s2_h2,1,0.986667,1,9
1,s3_f1,1,0.98,1,9
1,s3_f2,1,1,1,9
1,s3_h1,1,0.989778,1,9
1,s3_h2,1,0.953333,1,9
1,s4_f1,1,1,1,9
1,s4_f2,1,0.98,1,9
1,s4_h1,1,0.990222,1,9
1,s4_h2,1,0.993333,1,9
1,s1_f3,1,1,1,9
1,s1_h3,1,0.995,1,9
1,s1_h4,1,0.993333,1,9
1,s2_f3,1,1,1,9
1,s2_h3,1,0.975,1,9
1,s2_h4,1,0.993333,1,9
1,s3_f3,1,1,1,9
1,s3_h3,1,0.985,1,9
1,s3_h4,1,0.986667,1,9
1,s4_f3,1,1,1,9
1,s4_h3,1,0.985,1,9
1,s4_h4,1,0.953333,1,9
1,s1_f4,1,1,1,9
1,s1_h5,1,0.975,1,9
1,s2_f4,1,1,1,9
1,s2_h5,1,0.985,1,9
1,s3_f4,1,0.96,1,9
1,s3_h5,1,0.995,1,9
1,s4_f4,1,1,1,9
1,s4_h5,1,0.985,1,9
1,s1_f5,1,0.99,1,9
1,s2_f5,1,0.99,1,9
1,s3_f5,1,0.99,1,9
1,s4_f5,1,0.99,1,9
1,s1_f1,1,1,1,10
0,s1_f2,1,0,0.303265,10
1,s1_h1,1,0.993333,1,10
1,s1_h2,1,0.993333,1,10
1,s2_f1,1,1,1,10
1,s2_f2,1,0.993333,1,10
1,s2_h1,1,0.946667,1,10
1,s2_h2,1,0.986667,1,10
1,s3_f1,1,0.98,1,10
1,s3_f2,1,0.993333,1,10
1,s3_h1,1,0.986667,1,10
