Label,NodeID,Recente,Ancienne,periode
1,s2_h2,1,0.987747,9
1,s3_f1,0.997247,0.98617,9
1,s3_f2,1,0.863583,9
1,s3_h1,0.999082,0.96054,9
1,s3_h2,1,0.972077,9
1,s4_f1,1,0.988842,9
1,s4_f2,0.998624,0.986091,9
1,s4_h1,0.999082,0.927684,9
1,s4_h2,1,0.988558,9
1,s1_f3,0.999082,0.987961,9
0,s1_h3,0.999312,0.878862,9
1,s1_h4,0.999082,0.973682,9
1,s2_f3,0.993577,0.982578,9
1,s2_h3,0.996559,0.985467,9
1,s2_h4,0.999082,0.987808,9
1,s3_f3,0.998165,0.987064,9
1,s3_h3,0.997935,0.986866,9
1,s3_h4,0.998165,0.886061,9
1,s4_f3,0.999082,0.987961,9
1,s4_h3,0.997935,0.882832,9
0.4,s4_h4,0.993577,0.982944,9
0.2,s1_f4,0.261524,0.388675,9
1,s1_h5,0.996559,0.886544,9
1,s2_f4,0.998165,0.987211,9
0.6,s2_h5,0.997935,0.987228,9
1,s3_f4,0.99633,0.973331,9
1,s3_h5,0.999312,0.878278,9
1,s4_f4,0.998165,0.987211,9
1,s4_h5,0.997935,0.987228,9
0,s1_f5,0.998624,0.488669,9
1,s2_f5,0.998624,0.987807,9
1,s3_f5,0.998624,0.987807,9
1,s4_f5,0.998624,0.987217,9
0.4,s1_f1,1,0.95098,10
0,s1_f2,0.261524,0.932765,10
0,s1_h1,0.701616,0.336031,10
0.2,s1_h2,1,0.979222,10
1,s2_f1,1,0.979156,10
1,s2_f2,1,0.993335,10
1,s2_h1,0.997675,0.991452,10
1,s2_h2,1,0.992884,10
1,s3_f1,0.997247,0.990814,10
1,s3_f2,1,0.920774,10
1,s3_h1,0.999572,0.976698,10
1,s3_h2,1,0.983783,10
1,s4_f1,1,0.99352,10
1,s4_f2,1,0.991345,10
1,s4_h1,0.999572,0.957617,10
1,s4_h2,1,0.993355,10
1,s1_f3,0.999082,0.992623,10
0,s1_h3,0,0.929359,10
1,s1_h4,0.999082,0.984331,10
1,s2_f3,0.993577,0.987189,10
1,s2_h3,0.994494,0.990117,10
1,s2_h4,0.999082,0.992534,10
1,s3_f3,0.998165,0.991718,10
1,s3_h3,1,0.991506,10
1,s3_h4,0.998165,0.933059,10
1,s4_f3,0.999082,0.992623,10
1,s4_h3,1,0.931088,10
1,s4_h4,0.322269,0.987402,10
1,s1_f4,0.365462,0.335369,10
0,s1_h5,0.996238,0.932666,10
1,s2_f4,0.998165,0.991803,10
1,s2_h5,0.699444,0.991717,10
0,s3_f4,0.99633,0.982973,10
1,s3_h5,0.998991,0.92902,10
1,s4_f4,0.998165,0.991803,10
1,s4_h5,0.998257,0.991717,10
1,s1_f5,0,0.70246,10
1,s2_f5,1,0.992342,10
1,s3_f5,1,0.992342,10
1,s4_f5,0.997247,0.991999,10
0.2,s1_f1,0.281459,0.971531,11
0,s1_f2,0,0.651357,11
0,s1_h1,0,0.489297,11
1,s1_h2,0.48117,0.987933,11
1,s2_f1,0.999082,0.987895,11
1,s2_f2,1,0.996129,11
1,s2_h1,0.997247,0.994061,11
0,s2_h2,1,0.995867,11
1,s3_f1,0.998165,0.993511,11
1,s3_f2,1,0.953988,11
1,s3_h1,1,0.986288,11
1,s3_h2,1,0.990582,11
1,s4_f1,0.999082,0.996236,11
1,s4_f2,1,0.994974,11
1,s4_h1,1,0.975206,11
