SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
h4,f4,12,0.997086,0.5,0.801733,0.6,0.85
h4,h1,12,0.998627,0.5,0.367107,0.5,0.5
h5,f4,12,0.997086,0.333333,0.793936,0.6,0.95
h5,f2,12,0.999563,0.333333,0.191639,0.6,0.5
h5,f1,12,0.99847,0.333333,0.119574,0.6,0.5
h5,h1,12,0.998627,0.333333,0.228055,0.5,0.321053
f2,f1,12,0.99847,0.5,0.742268,0.6,0.583333
f2,f4,12,0.997086,0.25,0.292101,0.6,0.7
f2,h1,12,0.998627,0.25,0.556362,0.5,0.5
h1,f1,12,0.99847,0,0.750855,0.6,0.5
h1,f2,12,0.999563,0.5,0.556362,0.6,0.352
h1,f4,12,0.997086,0.5,0.212492,0.6,0.5
h3,f2,12,0.999563,0.5,0.851998,0.6,0.85
h3,f3,12,0.999568,0.5,0.805921,0.64,0.5
h3,f4,12,0.997086,0.5,0.440104,0.6,0.7
h3,h1,12,0.998627,0.5,0.550043,0.5,0.5
h4,f3,13,0.999749,0.5,0.83245,0.64,0.647368
f5,f3,13,0.999749,0.333333,0.375065,0.64,0.85
h5,f2,13,0.999746,0.333333,0.191639,0.5725,0.5
h4,f2,13,0.999746,0.5,0.490369,0.5725,0.7
h4,f3,13,0.999749,0.5,0.83245,0.64,0.830263
h4,h2,13,0.999746,0,0.261497,0.5,0.5
h3,f2,13,0.999746,0.5,0.851998,0.5725,0.9
h3,f3,13,0.999749,0.5,0.805921,0.64,0.5
h3,h2,13,0.999746,0,0.621867,0.5,0.5
h3,f2,13,0.999746,0.5,0.851998,0.5725,0.9
h3,f3,13,0.999749,0.5,0.805921,0.64,0.5
h3,h2,13,0.999746,0,0.621867,0.5,0.5
f2,f1,14,0.9988,0.5,0.742268,0.6,0.766667
f3,f1,14,0.9988,0.333333,0.502559,0.6,0.9
f3,f2,14,0.999852,0.333333,0.657919,0.5725,0.85
f3,h2,14,0.999852,0.333333,0.428662,0.5,0.34
f3,h3,14,0.998922,0.333333,0.805921,0.5,0.764286
f4,f1,14,0.9988,0.5,0.163344,0.6,0.5
f4,f2,14,0.999852,0.5,0.292101,0.5725,0.5
f4,f5,14,0.998756,0.5,0.552963,0.6,0.5
f4,h2,14,0.999852,0,0.0635079,0.5,0.5
f4,h3,14,0.998922,0.5,0.440104,0.5,0.5
f4,h4,14,0.998932,0.5,0.801733,0.5,0.5
h3,f1,14,0.9988,0.5,0.659381,0.6,0.95
h3,f2,14,0.999852,0.5,0.851998,0.5725,0.925
h3,h2,14,0.999852,0,0.621867,0.5,0.7
h3,h4,14,0.998932,1,0.638371,0.5,0.85
f2,f1,14,0.9988,0.5,0.742268,0.6,0.825
f2,h2,14,0.999852,0.25,0.768221,0.5,0.85
f2,h3,14,0.998922,0.25,0.851998,0.5,0.5
f2,h4,14,0.998932,0.25,0.490369,0.5,0.5
h1,f1,14,0.9988,0,0.750855,0.6,0.342105
h1,f2,14,0.999852,0.5,0.556362,0.5725,0.352
h1,h2,14,0.999852,0.5,0.43937,0.5,0.5
h1,h3,14,0.998922,0.5,0.550043,0.5,0.5
h1,h4,14,0.998932,0.5,0.367107,0.5,0.5
