SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
f2,f4,34,0.999447,0.25,0.292101,0.64,0.9
h5,f3,34,0.999996,0.333333,0.517238,0.63813,0.8125
h5,f4,34,0.999447,0.333333,0.793936,0.64,0.925
f5,f1,34,1,0.666667,0.0983332,0.59763,0.5
f5,f3,34,0.999996,0.333333,0.375065,0.63813,0.62
f3,f1,34,1,0.333333,0.502559,0.59763,0.433333
f3,f5,34,0.999984,0.333333,0.375065,0.591667,0.9
f3,h3,34,0.999998,0.333333,0.805921,0.56,0.7
h5,f1,34,1,0.333333,0.119574,0.59763,0.7
h5,f5,34,0.999984,0.333333,0.750669,0.591667,0.38
h5,h3,34,0.999998,0.666667,0.334537,0.56,0.43
h3,f5,34,0.999984,0,0.225157,0.591667,0.5
f4,f5,34,0.999984,0.5,0.552963,0.591667,0.9
f4,h3,34,0.999998,0.5,0.440104,0.56,0.5
f2,f3,35,0.999997,0.25,0.657919,0.63813,0.66
f2,f4,35,0.999679,0.25,0.292101,0.64,0.925
f2,h2,35,1,0.25,0.768221,0.540476,0.566667
f2,h3,35,0.999999,0.25,0.851998,0.56,0.835
